C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
441-416-474-262-241      134  util                     /%UUID%/controllers                              GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998             639  etcdWatch                /%UUID%/controllers                              GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
209-35-671-799-953        23  kube-apiserver           /%UUID%/controllers/%NAME%                       DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
209-35-268-393-717        21  kube-apiserver           /%UUID%/controllers/%NAME%                       DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).deleteForEmptyFinalizers, 268', '/pkg/registry/generic/registry.(*Store).Update, 393', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-671-799        23  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-268-393        21  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).deleteForEmptyFinalizers, 268', '/pkg/registry/generic/registry.(*Store).Update, 393', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-623-799        47  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Delete, 623', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-431-146       113  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-261-36-431-146        16  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/quota.TestQuota.func1, 63', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-261-36-431-146         2  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-261-36-431-146         2  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 481', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-470-38-388-717        40  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-38-388-645         2  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.patchResource.func3, 645', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-38-388-131        66  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/controller/etcd.(*StatusREST).Update, 131', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-38-585-660        31  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).updateForGracefulDeletionAndFinalizers, 585', '/pkg/registry/generic/registry.(*Store).Delete, 660', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
441-416-293-205-187        8  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        2  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-293-205-187        2  kube-apiserver           /%UUID%/controllers/%NAME%                       GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 481', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/auth/handlers.NewRequestAuthenticator.func1, 66', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
138-34-227-440-403        56  kube-apiserver           /%UUID%/controllers/%NAME%                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/apiserver.(*namedCreaterAdapter).Create, 440', '/pkg/apiserver.createHandler.func1.1, 403', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-717-953         5  kube-apiserver           /%UUID%/controllers/%NAME%                       PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-645-953         2  kube-apiserver           /%UUID%/controllers/%NAME%                       PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.patchResource.func3, 645', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
550-38-388-131-717        42  kube-apiserver           /%UUID%/controllers/%NAME%                       PUT       ['/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 550', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/controller/etcd.(*StatusREST).Update, 131', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
